"01/2007",Indisponível,Farol da Barra - SSA FB 100
"01/2007",Indisponível,Farol da Barra - SSA FB 200
"01/2007",Indisponível,Porto da Barra - SSA PB 100
"01/2007",Indisponível,Santa Maria - SSA SM 100
"02/2007",Indisponível,Farol da Barra - SSA FB 100
"02/2007",Indisponível,Farol da Barra - SSA FB 200
"02/2007",Indisponível,Porto da Barra - SSA PB 100
"02/2007",Indisponível,Santa Maria - SSA SM 100
"03/2007",Indisponível,Farol da Barra - SSA FB 100
"03/2007",Indisponível,Farol da Barra - SSA FB 200
"03/2007",Indisponível,Porto da Barra - SSA PB 100
"03/2007",Indisponível,Santa Maria - SSA SM 100
"04/2007",Indisponível,Farol da Barra - SSA FB 100
"04/2007",Indisponível,Farol da Barra - SSA FB 200
"04/2007",Indisponível,Porto da Barra - SSA PB 100
"04/2007",Indisponível,Santa Maria - SSA SM 100
"05/2007",Própria,Farol da Barra - SSA FB 100
"05/2007",Própria,Farol da Barra - SSA FB 200
"05/2007",Própria,Porto da Barra - SSA PB 100
"05/2007",Própria,Santa Maria - SSA SM 100
"06/2007",Própria,Farol da Barra - SSA FB 100
"06/2007",Própria,Farol da Barra - SSA FB 200
"06/2007",Própria,Porto da Barra - SSA PB 100
"06/2007",Própria,Santa Maria - SSA SM 100
"07/2007",Indisponível,Farol da Barra - SSA FB 100
"08/2007",Indisponível,Farol da Barra - SSA FB 100
"07/2007",Indisponível,Farol da Barra - SSA FB 200
"08/2007",Indisponível,Farol da Barra - SSA FB 200
"07/2007",Indisponível,Porto da Barra - SSA PB 100
"08/2007",Indisponível,Porto da Barra - SSA PB 100
"07/2007",Indisponível,Santa Maria - SSA SM 100
"08/2007",Indisponível,Santa Maria - SSA SM 100
"09/2007",Indisponível,Farol da Barra - SSA FB 100
"09/2007",Indisponível,Farol da Barra - SSA FB 200
"09/2007",Indisponível,Porto da Barra - SSA PB 100
"09/2007",Indisponível,Santa Maria - SSA SM 100
"10/2007",Indisponível,Farol da Barra - SSA FB 100
"10/2007",Indisponível,Farol da Barra - SSA FB 200
"10/2007",Indisponível,Porto da Barra - SSA PB 100
"10/2007",Indisponível,Santa Maria - SSA SM 100
"11/2007",Indisponível,Farol da Barra - SSA FB 100
"11/2007",Indisponível,Farol da Barra - SSA FB 200
"11/2007",Indisponível,Porto da Barra - SSA PB 100
"11/2007",Indisponível,Santa Maria - SSA SM 100
"12/2007",Indisponível,Farol da Barra - SSA FB 100
"12/2007",Indisponível,Farol da Barra - SSA FB 200
"12/2007",Indisponível,Porto da Barra - SSA PB 100
"12/2007",Indisponível,Santa Maria - SSA SM 100
"13/2007",Indisponível,Farol da Barra - SSA FB 100
"13/2007",Indisponível,Farol da Barra - SSA FB 200
"13/2007",Indisponível,Porto da Barra - SSA PB 100
"13/2007",Indisponível,Santa Maria - SSA SM 100
"14/2007",Indisponível,Farol da Barra - SSA FB 100
"14/2007",Indisponível,Farol da Barra - SSA FB 200
"14/2007",Indisponível,Porto da Barra - SSA PB 100
"14/2007",Indisponível,Santa Maria - SSA SM 100
"15/2007",Indisponível,Farol da Barra - SSA FB 100
"15/2007",Indisponível,Farol da Barra - SSA FB 200
"15/2007",Indisponível,Porto da Barra - SSA PB 100
"15/2007",Indisponível,Santa Maria - SSA SM 100
"16/2007",Indisponível,Farol da Barra - SSA FB 100
"16/2007",Indisponível,Farol da Barra - SSA FB 200
"16/2007",Indisponível,Porto da Barra - SSA PB 100
"16/2007",Indisponível,Santa Maria - SSA SM 100
"17/2007",Indisponível,Farol da Barra - SSA FB 100
"17/2007",Indisponível,Farol da Barra - SSA FB 200
"17/2007",Indisponível,Porto da Barra - SSA PB 100
"17/2007",Indisponível,Santa Maria - SSA SM 100
"18/2007",Indisponível,Farol da Barra - SSA FB 100
"18/2007",Indisponível,Farol da Barra - SSA FB 200
"18/2007",Indisponível,Porto da Barra - SSA PB 100
"18/2007",Indisponível,Santa Maria - SSA SM 100
"19/2007",Indisponível,Farol da Barra - SSA FB 100
"19/2007",Indisponível,Farol da Barra - SSA FB 200
"19/2007",Indisponível,Porto da Barra - SSA PB 100
"19/2007",Indisponível,Santa Maria - SSA SM 100
"20/2007",Indisponível,Farol da Barra - SSA FB 100
"20/2007",Indisponível,Farol da Barra - SSA FB 200
"20/2007",Indisponível,Porto da Barra - SSA PB 100
"20/2007",Indisponível,Santa Maria - SSA SM 100
"21/2007",Indisponível,Farol da Barra - SSA FB 100
"21/2007",Indisponível,Farol da Barra - SSA FB 200
"21/2007",Indisponível,Porto da Barra - SSA PB 100
"21/2007",Indisponível,Santa Maria - SSA SM 100
"22/2007",Indisponível,Farol da Barra - SSA FB 100
"22/2007",Indisponível,Farol da Barra - SSA FB 200
"22/2007",Indisponível,Porto da Barra - SSA PB 100
"22/2007",Indisponível,Santa Maria - SSA SM 100
"23/2007",Indisponível,Farol da Barra - SSA FB 100
"23/2007",Indisponível,Farol da Barra - SSA FB 200
"23/2007",Indisponível,Porto da Barra - SSA PB 100
"23/2007",Indisponível,Santa Maria - SSA SM 100
"24/2007",Indisponível,Farol da Barra - SSA FB 100
"24/2007",Indisponível,Farol da Barra - SSA FB 200
"24/2007",Indisponível,Porto da Barra - SSA PB 100
"24/2007",Indisponível,Santa Maria - SSA SM 100
"25/2007",Indisponível,Farol da Barra - SSA FB 100
"25/2007",Indisponível,Farol da Barra - SSA FB 200
